record_id,date,year,month,week_of_year,weekly_tourist_arrivals,mount_siguniang_search,hotel_at_mount_siguniang_search,where_is_mount_siguniang_search,mount_siguniang_weather_search,mount_siguniang_travel_guide_search,mount_siguniang_travel_search,mount_siguniang_travel_strategy_search,mount_siguniang_altitude_search,tickets_to_mount_siguniang_search,ctrip_avg_rating,ctrip_review_volume,qunar_avg_rating,qunar_review_volume,dianping_avg_rating,dianping_review_volume,max_temperature_c,min_temperature_c,tourism_revenue,avg_tourist_spending,accommodation_demand,transport_demand,hotel_capacity,transport_capacity,staff_available,attraction_capacity,resource_utilization_rate_pct,allocation_priority,management_decision
1,2016-01-04,2016,1,1,27644,14567,885,1540,5457,849,743,1214,902,1452,0.99,6,0.0,0,3.0,10,10.83,-3.96,24273238.86,878.07,19874,23444,23566,36638,745,34535,80.05,High,Peak-Demand Allocation
2,2016-01-05,2016,1,1,18489,9937,899,2375,3182,472,312,5286,2186,698,2.58,5,1.16,0,5.0,4,9.79,-5.28,14155093.29,765.6,6599,11064,7421,31668,210,24500,75.47,High,Peak-Demand Allocation
3,2016-01-06,2016,1,1,40167,16281,844,1287,5974,1121,469,571,3079,890,1.49,5,0.21,0,4.36,5,12.44,-1.51,29616907.5,737.34,17113,27606,25982,32768,133,25976,100.0,Critical,Emergency Allocation
4,2016-01-07,2016,1,1,25889,17024,762,1838,3473,239,629,6056,1187,885,5.0,5,0.97,0,4.67,3,11.24,-0.48,16374541.81,632.49,13926,21729,9579,34763,194,43590,59.39,Medium,Increase Resources
5,2016-01-08,2016,1,1,21511,6981,759,2254,5850,9,811,3287,1406,497,3.38,3,0.0,0,3.68,4,15.89,-0.59,14720675.1,684.33,15878,10432,25930,36473,430,18110,100.0,Critical,Emergency Allocation
6,2016-01-09,2016,1,1,19832,9329,726,2119,5188,0,772,4253,2394,727,1.33,5,0.0,0,3.62,5,14.31,-6.38,18526494.26,934.17,9799,9074,22381,31885,545,46128,42.99,Medium,Increase Resources
7,2016-01-10,2016,1,1,38775,14411,767,3111,4301,887,467,5323,1321,606,3.15,5,0.43,0,4.52,8,13.04,-0.49,31150911.25,803.38,15691,18441,17469,29696,202,33975,100.0,Critical,Emergency Allocation
8,2016-01-11,2016,1,2,34407,12934,791,1881,3775,370,694,2856,565,634,2.89,6,0.26,0,4.1,6,14.46,1.71,30674326.51,891.51,23033,27781,16073,20461,301,52535,65.49,High,Peak-Demand Allocation
9,2016-01-12,2016,1,2,33451,14059,269,945,5014,570,470,4688,2784,1016,3.15,6,1.5,0,2.87,5,14.23,-0.73,28121212.7,840.67,14793,29242,26254,10532,673,45706,73.19,High,Peak-Demand Allocation
10,2016-01-13,2016,1,2,24949,11208,446,1106,4958,1008,498,2285,853,1388,1.72,4,0.62,0,3.88,6,11.53,0.7,20415636.46,818.29,15781,20051,27890,24591,512,50373,49.53,Medium,Increase Resources
11,2016-01-14,2016,1,2,35799,17348,384,2539,2959,746,524,2888,1843,1829,0.89,4,0.67,1,4.04,7,14.13,3.17,25600951.63,715.13,19105,16841,10895,32717,491,21309,100.0,Critical,Emergency Allocation
